epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2913505434989929,2.048379898071289,0.001,0.3156028389930725,1.7738512754440308
1,0.38846737146377563,1.5866755247116089,0.001,0.368794322013855,1.6406629085540771
2,0.4355083405971527,1.4781699180603027,0.001,0.4716311991214752,1.460066795349121
3,0.5037935972213745,1.3667583465576172,0.001,0.4929077923297882,1.378724455833435
4,0.5356600880622864,1.2693254947662354,0.001,0.5780141949653625,1.3082091808319092
5,0.5417298674583435,1.2521616220474243,0.001,0.5602836608886719,1.302889108657837
6,0.5386949777603149,1.231421709060669,0.001,0.5177304744720459,1.2342302799224854
7,0.5477997064590454,1.167098045349121,0.001,0.5390070676803589,1.199271559715271
8,0.5781487226486206,1.1369235515594482,0.001,0.542553186416626,1.1587671041488647
9,0.5842185020446777,1.134029746055603,0.001,0.5567376017570496,1.144454836845398
10,0.5644916296005249,1.0935512781143188,0.001,0.5709219574928284,1.1381839513778687
11,0.6100151538848877,1.0849146842956543,0.001,0.5709219574928284,1.1105475425720215
12,0.6176024079322815,1.0298371315002441,0.001,0.563829779624939,1.1795084476470947
13,0.5918057560920715,1.0565223693847656,0.001,0.6028369069099426,1.0419132709503174
14,0.6024278998374939,1.0344958305358887,0.001,0.6063829660415649,1.03518807888031
15,0.6631259322166443,0.9587751626968384,0.001,0.6063829660415649,0.9678865075111389
16,0.6069802641868591,0.9998844861984253,0.001,0.6347517967224121,0.9778584241867065
17,0.6570561528205872,0.9669826626777649,0.001,0.609929084777832,0.9558051228523254
18,0.6661608219146729,0.9362281560897827,0.001,0.6453900933265686,0.9528738260269165
19,0.6525037884712219,0.9172315001487732,0.001,0.6453900933265686,0.918837308883667
20,0.6509863138198853,0.9263357520103455,0.001,0.6063829660415649,1.004457712173462
21,0.6312595009803772,0.9310213923454285,0.001,0.6418439745903015,0.908561110496521
22,0.6737480759620667,0.9204330444335938,0.001,0.6241135001182556,0.9514478445053101
23,0.6449165344238281,0.9261918067932129,0.001,0.6879432797431946,0.8820496201515198
24,0.6752655506134033,0.8785260319709778,0.001,0.6666666865348816,0.9028664827346802
25,0.6798179149627686,0.8324370384216309,0.001,0.6631205677986145,0.8701138496398926
26,0.6631259322166443,0.8690481781959534,0.001,0.6241135001182556,0.9084826707839966
27,0.6661608219146729,0.8790557384490967,0.001,0.6666666865348816,0.8564062714576721
28,0.6707131862640381,0.8594942092895508,0.001,0.6595744490623474,0.8538071513175964
29,0.6889225840568542,0.8409474492073059,0.001,0.6843971610069275,0.8105040192604065
30,0.6813353300094604,0.8032796382904053,0.001,0.6560283899307251,0.807353138923645
31,0.6995447874069214,0.813568651676178,0.001,0.6773049831390381,0.8499725461006165
32,0.6540212631225586,0.8584098219871521,0.001,0.6914893388748169,0.8029419183731079
33,0.6858876943588257,0.8418555855751038,0.001,0.7092198729515076,0.8153672218322754
34,0.6889225840568542,0.8299155831336975,0.001,0.7234042286872864,0.7565069198608398
35,0.6919575333595276,0.8095830678939819,0.001,0.6985815763473511,0.7741795778274536
36,0.7116843461990356,0.732832670211792,0.001,0.673758864402771,0.7986154556274414
37,0.6904400587081909,0.7741252183914185,0.001,0.695035457611084,0.7605612277984619
38,0.7010622024536133,0.8039138913154602,0.001,0.6631205677986145,0.8048800230026245
39,0.6995447874069214,0.8018534183502197,0.001,0.6879432797431946,0.7666975855827332
40,0.6919575333595276,0.765861451625824,0.001,0.695035457611084,0.7836087346076965
41,0.7238239645957947,0.784065842628479,0.001,0.7056737542152405,0.7429832220077515
42,0.696509838104248,0.7720515131950378,0.001,0.6985815763473511,0.7588128447532654
43,0.6995447874069214,0.7531786561012268,0.001,0.6773049831390381,0.7393290996551514
44,0.7116843461990356,0.7565374970436096,0.001,0.695035457611084,0.7636948227882385
45,0.7223065495491028,0.7332442998886108,0.001,0.6914893388748169,0.7502908706665039
46,0.7116843461990356,0.7488018870353699,0.001,0.7092198729515076,0.7477960586547852
47,0.7116843461990356,0.7635583281517029,0.001,0.7056737542152405,0.7748386859893799
48,0.7116843461990356,0.7322894930839539,0.001,0.716312050819397,0.7076119780540466
49,0.7207890748977661,0.6896663904190063,0.001,0.7056737542152405,0.7662688493728638
50,0.7374810576438904,0.7052446603775024,0.001,0.7234042286872864,0.7088338732719421
51,0.7056145668029785,0.7584844827651978,0.001,0.6808510422706604,0.7551773190498352
52,0.752655565738678,0.6549004912376404,0.001,0.6914893388748169,0.775320291519165
53,0.7192716002464294,0.6745720505714417,0.001,0.6985815763473511,0.7670998573303223
54,0.7223065495491028,0.7663114070892334,0.001,0.695035457611084,0.7200695872306824
55,0.7268588542938232,0.7226169109344482,0.001,0.7198581695556641,0.7798693776130676
56,0.7283763289451599,0.688082218170166,0.001,0.758865237236023,0.6862652897834778
57,0.7298938035964966,0.7358496189117432,0.001,0.73758864402771,0.6985743045806885
58,0.7086494565010071,0.7337452173233032,0.001,0.7198581695556641,0.7355064749717712
59,0.7238239645957947,0.7068353891372681,0.001,0.7234042286872864,0.6983430981636047
