epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2913505434989929,2.026038646697998,0.001,0.4822694957256317,1.5982038974761963
1,0.4430955946445465,1.5433565378189087,0.001,0.478723406791687,1.5188252925872803
2,0.4946889281272888,1.407179594039917,0.001,0.5177304744720459,1.4085646867752075
3,0.5144158005714417,1.3240113258361816,0.001,0.5709219574928284,1.3480720520019531
4,0.5280728340148926,1.2748706340789795,0.001,0.631205677986145,1.2434358596801758
5,0.5493171215057373,1.2595744132995605,0.001,0.5921986103057861,1.2235476970672607
6,0.5690439939498901,1.1753820180892944,0.001,0.631205677986145,1.1655666828155518
7,0.5948406457901001,1.1138830184936523,0.001,0.521276593208313,1.2692011594772339
8,0.5781487226486206,1.1162912845611572,0.001,0.6241135001182556,1.1303728818893433
9,0.6024278998374939,1.0959059000015259,0.001,0.6453900933265686,1.0826494693756104
10,0.6115326285362244,1.0569136142730713,0.001,0.6347517967224121,1.0513989925384521
11,0.6327769160270691,1.030943751335144,0.001,0.6631205677986145,1.0045621395111084
12,0.6358118653297424,1.003088116645813,0.001,0.673758864402771,0.9933449029922485
13,0.6342943906784058,0.9765819311141968,0.001,0.6666666865348816,0.9828075766563416
14,0.6100151538848877,1.0006896257400513,0.001,0.6879432797431946,0.978091299533844
15,0.6373292803764343,0.9815190434455872,0.001,0.6879432797431946,0.9258405566215515
16,0.6783004403114319,0.894541323184967,0.001,0.6808510422706604,0.9264475703239441
17,0.6631259322166443,0.9194306135177612,0.001,0.6985815763473511,0.8800737261772156
18,0.6616085171699524,0.940380334854126,0.001,0.6985815763473511,0.8984708189964294
19,0.6509863138198853,0.9114497303962708,0.001,0.7092198729515076,0.8945645093917847
20,0.658573567867279,0.9401129484176636,0.001,0.7021276354789734,0.8538745045661926
21,0.67678302526474,0.8435881733894348,0.001,0.716312050819397,0.8558876514434814
22,0.6691957712173462,0.8688507080078125,0.001,0.716312050819397,0.8698695302009583
23,0.6661608219146729,0.862650454044342,0.001,0.7021276354789734,0.8961926102638245
24,0.7040970921516418,0.8533263206481934,0.001,0.7269503474235535,0.8338538408279419
25,0.6949924230575562,0.7862089276313782,0.001,0.6914893388748169,0.8277838230133057
26,0.6874051690101624,0.8320130109786987,0.001,0.6843971610069275,0.851870059967041
27,0.7192716002464294,0.7829576134681702,0.001,0.73758864402771,0.792769193649292
28,0.7071320414543152,0.7942800521850586,0.001,0.7198581695556641,0.8114292621612549
29,0.6919575333595276,0.8201703429222107,0.001,0.73758864402771,0.7675710320472717
30,0.7283763289451599,0.7745441794395447,0.001,0.716312050819397,0.8229749798774719
31,0.7101669311523438,0.7737173438072205,0.001,0.7056737542152405,0.7919753193855286
32,0.7162367105484009,0.773093581199646,0.001,0.716312050819397,0.761957585811615
33,0.7162367105484009,0.758185863494873,0.001,0.7553191781044006,0.7227334380149841
34,0.7116843461990356,0.7480615377426147,0.001,0.7234042286872864,0.730701208114624
35,0.6949924230575562,0.7789963483810425,0.001,0.7092198729515076,0.7837013006210327
36,0.7101669311523438,0.7283496260643005,0.001,0.7304964661598206,0.736716628074646
37,0.6949924230575562,0.7616022825241089,0.001,0.7234042286872864,0.7241063117980957
38,0.7207890748977661,0.7378649115562439,0.001,0.7553191781044006,0.7455244064331055
39,0.7359635829925537,0.7151997089385986,0.001,0.7340425252914429,0.7724711894989014
40,0.7040970921516418,0.7518159747123718,0.001,0.7269503474235535,0.7413644194602966
41,0.7374810576438904,0.696906566619873,0.001,0.7234042286872864,0.7473822236061096
42,0.7207890748977661,0.7248319983482361,0.001,0.7446808218955994,0.7270957827568054
43,0.7374810576438904,0.6990697979927063,0.001,0.7127659320831299,0.7294030785560608
44,0.740515947341919,0.7036848068237305,0.0005,0.7482269406318665,0.681057870388031
45,0.7708649635314941,0.6385118961334229,0.0005,0.76241135597229,0.6822397112846375
46,0.752655565738678,0.6698582172393799,0.0005,0.758865237236023,0.6576733589172363
47,0.7754173278808594,0.63360196352005,0.0005,0.7517730593681335,0.6691462993621826
48,0.7708649635314941,0.6761048436164856,0.0005,0.7482269406318665,0.6746524572372437
49,0.7693474888801575,0.6483270525932312,0.0005,0.7659574747085571,0.6582656502723694
50,0.7496206164360046,0.6506869792938232,0.0005,0.7659574747085571,0.6752787828445435
51,0.7678300738334656,0.6441738605499268,0.0005,0.76241135597229,0.6518569588661194
52,0.7374810576438904,0.680785596370697,0.0005,0.758865237236023,0.6615065932273865
53,0.7617602348327637,0.6748943328857422,0.0005,0.7517730593681335,0.6439131498336792
54,0.7632777094841003,0.6291465759277344,0.0005,0.7482269406318665,0.6574565172195435
55,0.7845219969749451,0.5997701287269592,0.0005,0.7730496525764465,0.6456927061080933
56,0.772382378578186,0.6163676977157593,0.0005,0.7553191781044006,0.6524357199668884
57,0.7738998532295227,0.6057707071304321,0.0005,0.76241135597229,0.6340830326080322
58,0.7617602348327637,0.6426172256469727,0.0005,0.758865237236023,0.6354663372039795
59,0.7693474888801575,0.6011760234832764,0.0005,0.7517730593681335,0.6404742002487183
